STA 0's location: [-102.91151116733771, -672.2009169439095]
STA 46's location: [-273.6718921746523, -248.5635197936083]
STA 47's location: [118.29168423516077, -380.3884306837446]
STA 48's location: [189.56281282138647, -870.0550780035456]
STA 49's location: [-712.5042460038193, -189.1969224817891]
STA 50's location: [645.0176563417798, 654.0724556351711]
STA 51's location: [393.1704966061949, 455.61094493257207]
STA 52's location: [-631.2518068559776, 117.95882192861914]
STA 53's location: [643.019456097676, -434.21633051800984]
STA 54's location: [-38.82033082749035, -630.123233243042]
STA 55's location: [521.4930798229387, 65.121204506928]
STA 56's location: [-78.49476302730592, 585.8094632763559]
STA 57's location: [-218.27158130027087, -899.8789906582165]
STA 58's location: [207.71999046078463, 817.3768772864254]
STA 59's location: [-813.5432408544576, -510.89518305360264]
STA 60's location: [-192.2657052659396, 48.518835793767366]
STA 61's location: [-235.29420565927995, 254.68572287643462]
STA 62's location: [-730.0858585666455, 380.328682623677]
STA 63's location: [130.8961597966164, -966.1481848336282]
STA 64's location: [-331.2594351345241, 804.7430205893925]
STA 65's location: [665.1486413724313, -268.94439399082313]
STA 66's location: [161.48934654820266, -168.24671140395873]
STA 67's location: [-740.6421370359651, 502.0921369438487]
STA 68's location: [446.52133546890184, -588.1126884380769]
STA 69's location: [234.6103482772756, -667.9033844471898]
STA 70's location: [236.85732829616416, -965.821493965231]
STA 71's location: [116.63258922943947, 173.81219863416047]
STA 72's location: [-790.8217945818963, 441.1959012749095]
STA 73's location: [-388.4929576879929, 566.8866568232736]
STA 74's location: [-745.9530457281263, -248.5455091534284]
STA 75's location: [-10.642763832603718, -388.8262290716167]
STA 76's location: [805.4354159033287, -314.5600634660317]
STA 77's location: [-328.4077900993428, -305.04069847775895]
STA 78's location: [-58.40733577230166, 160.0260751640728]
STA 79's location: [341.23153369729863, 696.8748477628601]
STA 80's location: [-17.71277198249311, 500.2920618727382]
STA 81's location: [515.1258064912648, -469.94336702367497]
STA 82's location: [-842.129496425799, 506.8236538356906]
STA 83's location: [-311.86884009453934, 926.4745656262062]
STA 84's location: [169.4141568760774, -773.9884069973505]
STA 85's location: [-325.8903915223678, 371.76890168152937]
STA 86's location: [-380.7652844761527, -816.1230458936857]
STA 87's location: [-836.5334355788616, -349.57528519861825]
STA 88's location: [732.2295742745032, 298.8123872317707]
STA 89's location: [-380.5292061845644, -677.5880872570224]
STA 90's location: [-630.7010273606654, 731.5019640501248]
STA 91's location: [-341.04210848410054, 573.149333823838]
STA 92's location: [-529.9039391267002, 404.7578574042388]
STA 93's location: [-950.1065230306, 144.9110102297393]
STA 94's location: [-717.2911785065181, 641.3343175414046]
STA 95's location: [906.1852276300204, -186.63787946212437]
STA 96's location: [550.2444928654337, -792.8768546775243]
STA 97's location: [-338.08092410862713, 737.8626947115088]
STA 98's location: [491.04220019193644, 320.5450701775958]
STA 99's location: [81.24675673081221, -804.1926468911623]
STA 100's location: [264.9597405818812, -510.7154682703309]
STA 101's location: [-500.32099184694874, 142.92501271458676]
STA 102's location: [141.29316949292243, 583.9525392383732]
STA 103's location: [-110.38160109360739, 543.8285316955044]
STA 104's location: [-452.2840805304153, 728.4521253629332]
STA 105's location: [-355.8265705142162, 460.9409846349785]
STA 106's location: [612.3244130907049, -224.32527439345574]
STA 107's location: [930.7482335092594, -55.477544025806374]
STA 108's location: [427.97878734871955, -109.98107886882981]
STA 109's location: [69.05345149530014, -730.7789810659284]
STA 110's location: [210.53422858003339, 588.4967880530297]
STA 111's location: [-903.5858423074319, -129.7303656962484]
STA 112's location: [252.2493892927902, 748.5985653535623]
STA 113's location: [-226.36489360419947, 838.8890700990332]
STA 114's location: [800.0386088216682, 356.1720627540827]
STA 115's location: [590.6641634731944, -228.04865452779356]
STA 116's location: [402.06038798449987, 449.360334176991]
STA 117's location: [-592.61465684097, -712.1825016534077]
STA 118's location: [-213.73316694269715, 970.4133256580104]
STA 119's location: [326.4176949711963, 515.4402055567293]
STA 120's location: [739.9553346748473, 206.75258307037245]
STA 121's location: [397.93504088628873, -192.2307060331449]
STA 122's location: [-114.43986524997668, 646.3548923977036]
STA 123's location: [-409.393236047373, -508.38321146365666]
STA 124's location: [-219.49804692239306, -346.6167241439904]
STA 125's location: [660.3598414382956, 467.04144507364026]
STA 126's location: [571.5587792228978, 555.929305991789]
STA 127's location: [335.89916892628884, -326.3897631773231]
STA 128's location: [336.9886840362891, 925.6842484146944]
STA 129's location: [99.78627742817822, 535.8511648072333]
STA 130's location: [733.9787897361512, -75.05854944699445]
STA 131's location: [216.14379148473705, -186.96935942173047]
STA 132's location: [-482.07827469000966, -864.391473202175]
STA 133's location: [-813.1847894616258, 91.43815106159246]
STA 134's location: [613.4408104304164, 64.35241795533433]
STA 135's location: [865.748679276519, -393.66048755542033]
STA 136's location: [-724.3777629606117, 265.3804850854673]
STA 137's location: [406.87243879717886, -770.1861351089029]
STA 138's location: [301.80403166333895, -268.15310440639513]
STA 139's location: [449.96194302674655, 129.16097086756335]
STA 140's location: [241.10605703480363, -857.7236670951006]
STA 141's location: [48.67067640128518, -707.6312629025311]
STA 142's location: [-199.01449100126217, -243.8554686204615]
STA 143's location: [-732.9796919775015, 143.69175970543796]
STA 144's location: [78.47029849088052, 6.320409109006113]
STA 145's location: [113.46977386024491, 299.9222044758067]
STA 146's location: [511.40875751186553, 515.7114428630746]
STA 147's location: [-618.0871970621067, 512.196634331465]
STA 148's location: [-111.2879987304045, -878.2749402154501]
STA 149's location: [-530.4894484143515, 719.2844541367627]
STA 150's location: [-459.27874252630806, 187.52921677921287]
STA 151's location: [-543.4696618925226, 74.16805638511502]
STA 152's location: [-780.2233034893814, 40.40367365674184]
STA 153's location: [466.91385251168447, 764.2141049186213]
STA 154's location: [-472.9408003316528, -301.94997185788003]
STA 155's location: [558.2478950682057, -428.6443487129812]
STA 156's location: [-581.4676986026312, 794.3440275473041]
STA 157's location: [407.28273432702395, -323.015940543396]
STA 158's location: [-242.11076277809767, -379.0317623182986]
STA 159's location: [-474.6622717436714, -206.66016085705743]
STA 160's location: [-6.980562851276211, 727.9553380720645]
STA 161's location: [-532.9050901704283, 131.14045557378316]
STA 162's location: [-156.8638907659883, -814.0763166202265]
STA 163's location: [-148.5288401926214, -702.086525666124]
STA 164's location: [343.9022548418034, 357.934633655838]
STA 165's location: [-25.715226008138, -284.664115155908]
STA 166's location: [-324.91814744979973, 845.478393428893]
STA 167's location: [488.3581578479823, -860.6049430824138]
STA 168's location: [-167.5757773628264, -209.81667660978118]
STA 169's location: [-528.91980582985, 439.16213791466674]
STA 170's location: [425.6950712873971, -745.7168647919787]
STA 171's location: [-91.07300777252885, 968.2907968914778]
STA 172's location: [592.7052846730595, 666.6704268384625]
STA 173's location: [-822.6834910298198, -81.43438008338269]
STA 174's location: [108.23853036432567, 553.2624968138878]
STA 175's location: [-550.5054565472675, -209.71052545189949]
STA 176's location: [869.1718208842007, -34.64096112598131]
STA 177's location: [-9.912890385755759, 714.1502833466254]
STA 178's location: [641.2105388268385, -509.8526592671995]
STA 179's location: [-550.0488017014727, -798.7952138033404]
STA 180's location: [-262.44410994136473, -218.00912753698185]
STA 181's location: [-5.48738789922368, 909.9416548125544]
STA 182's location: [158.05434156279665, -908.100591152802]
STA 183's location: [-704.2006571934547, 688.859372429825]
STA 184's location: [-893.1451800838189, -310.6101252133238]
STA 185's location: [64.98439170954565, 498.8615319928632]
STA 186's location: [145.9194952896929, 773.3713540756735]
STA 187's location: [97.68453281028623, 36.36520966422598]
STA 188's location: [679.5832925373859, -281.02670187251675]
STA 189's location: [-530.2489929011931, -168.06381245671056]
STA 190's location: [-101.3155270630089, -621.4364677579213]
STA 191's location: [405.99538335860245, -217.03090491237134]
STA 192's location: [-313.39384252837544, 261.1055756420352]
STA 193's location: [-924.0961877216829, -133.5382094513765]
STA 194's location: [130.00339465346963, -429.44845144674775]
STA 195's location: [63.05698314014666, 499.9798254191615]
STA 196's location: [-886.5193181273464, 328.98375914775477]
STA 197's location: [254.38771100344562, 485.11668627788333]
STA 198's location: [706.7312439609825, 38.40876850995055]
STA 199's location: [741.8142446876915, -613.8510230825303]
STA 200's location: [-219.12797879228745, -1.1425279232493164]
STA 201's location: [-921.2305781978681, -91.6398695081939]
STA 202's location: [271.24809540949445, 509.1215445891265]
STA 203's location: [-474.6506737489966, -592.6042809088266]
STA 204's location: [603.2334870153472, -512.9833699530615]
STA 205's location: [-95.88907444809325, 203.7811562791198]
STA 206's location: [365.9129283666594, 441.5860207261932]
STA 207's location: [-621.5237316271518, -746.8472620054347]
STA 208's location: [284.3375418812719, -466.6534493681705]
STA 209's location: [-803.3295066925994, 69.64042653782596]
STA 210's location: [204.28107195507926, -25.173790316986057]
STA 211's location: [-694.4488952185156, 56.09436545055067]
STA 212's location: [-179.27108923616802, 468.48862328010676]
STA 213's location: [-711.7066988354984, -520.0850608870179]
STA 214's location: [-219.95161113907795, -336.81778425324677]
STA 215's location: [165.7019836462818, 403.1924381392394]
STA 216's location: [-411.30819332105045, -696.1160148957582]
STA 217's location: [594.6342476932972, 367.0833014006619]
STA 218's location: [-23.45243883529872, -940.7061881842245]
STA 219's location: [320.24714785695625, -765.2565076217734]
STA 220's location: [702.9381807409951, 452.68318984777727]
STA 221's location: [-310.99511886089545, -535.4703555947119]
STA 222's location: [125.59366154544541, -952.0985913773039]
STA 223's location: [-355.46364821571154, 723.8180888202896]
STA 224's location: [-653.9950347855, -657.6041949461983]
STA 225's location: [325.45617739438984, 231.00603085627517]
STA 226's location: [-716.6215197274051, 249.0101589245998]
STA 227's location: [-443.7387397152549, -646.3804752434322]
STA 228's location: [393.4362020006864, -393.8060767153869]
STA 229's location: [-485.88383008417134, 568.18873068657]
STA 230's location: [-26.37167376515347, 816.9385721892512]
STA 231's location: [-775.6942125755634, 516.3454831268243]
STA 232's location: [-33.91938808216065, -527.554124003531]
STA 233's location: [-523.8456291936851, -171.24415114345064]
STA 234's location: [389.9852893348316, -880.9183637816989]
STA 235's location: [-1.7502287744828835, 875.5428993977167]
STA 236's location: [90.36448867097, -551.713092438919]
STA 237's location: [545.4944983218337, 27.588269951894485]
STA 238's location: [-730.4444529140567, 27.104977609050923]
STA 239's location: [414.1135419235762, 269.3097026889371]
STA 240's location: [301.10015417246666, 871.3448123491146]
STA 241's location: [476.36524912669614, -467.49339475125515]
STA 242's location: [-29.090702124001613, -53.90506005809758]
STA 243's location: [321.1167963235285, 888.7415783875368]
STA 244's location: [105.40359373404482, 855.4077188851294]
STA 245's location: [372.0934352383049, 728.2515692496996]
STA 246's location: [-464.08815962761645, 314.9828322105827]
STA 247's location: [18.09726704961114, 555.8610090191441]
STA 248's location: [40.816853931488076, 109.78679151678284]
STA 249's location: [-265.6393832872952, -209.89929328303907]
STA 250's location: [13.821317490255938, 874.0285195529822]
STA 251's location: [-665.4371046884077, -656.4084731073059]
STA 252's location: [-416.62877624130243, 103.06791512736095]
STA 253's location: [168.94677701012756, 364.0982833802764]
STA 254's location: [246.62893072568673, 410.06041358244465]
STA 255's location: [-785.6173548272677, 419.3337491301115]
STA 256's location: [112.29235539283931, 610.7389936892869]
STA 257's location: [9.240957085905563, -713.2301707372081]
STA 258's location: [-715.2619688383633, -450.384787454159]
STA 259's location: [-876.5931986059626, 199.6723642479189]
STA 260's location: [983.1296536817928, -140.5229246848198]
STA 261's location: [856.1294737869044, -212.21792771230005]
STA 262's location: [131.84036528506275, -977.3372261501925]
STA 263's location: [-268.62525395766653, 690.302811589896]
STA 264's location: [-41.51498508634747, 234.4304501839804]
STA 265's location: [-952.9205451044063, -137.93707635678683]
STA 266's location: [-184.0309933464067, -716.0968054373975]
STA 267's location: [581.3793359018114, 459.1390509375834]
STA 268's location: [212.53367371732116, 267.24156462756764]
STA 269's location: [624.6875397609589, -56.91443831396573]
STA 270's location: [251.78467683070733, 186.53919334377696]
STA 271's location: [726.0676268649265, -491.8691026539961]
STA 272's location: [409.4263414017356, -467.062245822562]
STA 273's location: [-354.6956432915621, -463.40983582381403]
STA 274's location: [-955.9756988378562, 73.13881498182961]
STA 275's location: [761.9677252321196, -487.4438880809294]
STA 276's location: [557.1097148829339, -566.4724246493557]
STA 277's location: [-669.5981639883793, -483.13866884495496]
STA 278's location: [-331.4759052167937, -342.0650426251789]
STA 279's location: [-960.5509230055458, 137.87063385719108]
STA 280's location: [-472.2449847522116, 140.66494043060322]
STA 281's location: [284.3472994599523, 393.58129008987873]
STA 282's location: [98.95619303276605, 348.50020846228944]
STA 283's location: [98.23404399467097, 99.5145274165632]
STA 284's location: [218.58354652340128, 54.942364150154965]
STA 285's location: [-872.5581798926714, -9.763684327823862]
STA 286's location: [272.4559428363594, -81.9682608843574]
STA 287's location: [-63.80408850909536, -993.6687444449341]
STA 288's location: [343.30580345094694, 360.74011000278006]
STA 289's location: [-760.6020280962173, -351.2778652374961]
STA 290's location: [287.297796140588, -936.6343243134927]
STA 291's location: [-63.40136365076335, -91.8745129948734]
STA 292's location: [-392.9053761151318, 387.5867174621058]
STA 293's location: [-0.9474891142012383, 66.01014956107467]
STA 294's location: [926.6685947330402, -231.81276536668074]
STA 295's location: [-284.1808423706465, -916.9585156217554]
STA 296's location: [889.0808909655939, 188.7939397961144]
STA 297's location: [-960.3440834083557, 79.2362539240856]
STA 298's location: [-536.9952266096313, -65.41551259157393]
STA 299's location: [-663.8413112228835, -154.33598297540078]
STA 300's location: [-394.109364278837, 556.3566221884475]
STA 301's location: [-546.9652992972035, 407.91839258308636]
STA 302's location: [489.35609858846095, 680.886138173509]
STA 303's location: [-98.98761962942346, -288.35272130378627]
STA 304's location: [71.51067552985192, -600.7689953476404]
STA 305's location: [-268.2203894638917, 567.6745647721668]
STA 306's location: [-41.791076832282734, -422.42013245941064]
STA 307's location: [-866.3257176690537, 491.90335256589725]
STA 308's location: [500.5695302300131, 412.3392950674242]
STA 309's location: [688.8391539046146, 366.6211366760715]
STA 310's location: [-751.8107671301923, -609.563393152803]
STA 311's location: [-364.69390859855866, -368.6335643134138]
STA 312's location: [-131.37476008594288, -849.4171384670913]
STA 313's location: [105.02023921900904, -215.72237671887373]
STA 314's location: [-93.31062639212062, -407.5515077524642]
STA 315's location: [310.4587652477536, -243.71312385254038]
STA 316's location: [193.15726106439948, 738.904617576482]
STA 317's location: [-539.923765800165, 750.5160054779203]
STA 318's location: [-892.1821141224183, 293.70238339974964]
STA 319's location: [-730.130861723543, 406.2628373463345]
STA 320's location: [278.7429177416786, -730.0969592035217]
STA 321's location: [377.05596723324703, -173.24388419483103]
STA 322's location: [-48.344064140154316, 802.4432981885042]
STA 323's location: [-806.254124529946, 269.2492283828871]
STA 324's location: [-266.6084984277777, 577.6671799531762]
STA 325's location: [2.488341601855297, -956.5196236124472]
STA 326's location: [19.675282496391166, 275.24917597504975]
STA 327's location: [307.88706292923644, -571.8308679678179]
STA 328's location: [-172.61066793207348, -193.90295479481853]
STA 329's location: [-539.1958386078662, 275.6135855018909]
STA 330's location: [867.8207076078934, 169.1421585237158]
STA 331's location: [-285.8344655781967, 881.7048710146016]
STA 332's location: [-557.522462926011, -674.8486608717086]
STA 333's location: [380.6504387883876, 435.142941943591]
STA 334's location: [260.0525575936215, 363.1873689911313]
STA 335's location: [311.80926941615405, -192.93846142559732]
STA 336's location: [542.1238651059824, -761.9953851569744]
STA 337's location: [-31.095632442517893, -768.3475468984047]
STA 338's location: [-345.41595599910346, -838.61754981212]
STA 339's location: [456.17312417590625, -320.92904531785246]
STA 340's location: [-61.016194851084016, 906.5389897718736]
STA 341's location: [820.9485097073942, 56.74386629132794]
STA 342's location: [-238.30691230384156, -891.2278452605253]
STA 343's location: [988.9303121256896, -92.55862146958314]
STA 344's location: [84.22686622728733, 475.40035465654347]
STA 345's location: [681.4955615318696, 130.78956761916524]
STA 346's location: [273.81760005035295, -654.9079453718215]
STA 347's location: [48.990292270745925, 633.027764114529]
STA 348's location: [546.8810512593087, 755.6230616107351]
STA 349's location: [-610.0831450830461, 45.56261798949714]
STA 350's location: [-895.015216600486, -202.72173736339357]
STA 351's location: [-947.1495980800248, -154.86465150888662]
STA 352's location: [626.4054573535358, 600.9863949640904]
STA 353's location: [422.356515322708, 426.2634048848984]
STA 354's location: [751.8708273248888, 144.8053400359714]
STA 355's location: [-640.0690034247345, -487.6312290560979]
STA 356's location: [564.556961011524, 478.2577411706913]
STA 357's location: [-170.6840848799439, 360.29259389443706]
STA 358's location: [-217.14564794715045, 300.347794256412]
STA 359's location: [562.1889915488626, -329.50966517002]
STA 360's location: [-273.8705578744479, 575.9107199707441]
STA 361's location: [-27.790116367745714, -183.49215536764228]
STA 362's location: [424.8075160028364, -734.4860159838161]
STA 363's location: [-524.8426823771405, -435.9737008076908]
STA 364's location: [42.60211957554593, 140.78706407619208]
STA 365's location: [638.9298086504508, 341.6545115418009]
STA 366's location: [-368.729362555344, -816.9440384954585]
STA 367's location: [431.3607686151158, -176.21982538334842]
STA 368's location: [-355.63466275791683, 438.47037077424346]
STA 369's location: [549.0276206846479, 627.8086844811955]
STA 370's location: [120.44253007313216, -196.1420681062936]
STA 371's location: [-337.3804633301612, -287.0904421841601]
STA 372's location: [399.14888152623183, -614.3833961405056]
STA 373's location: [-1.4232221437959052, 670.9846597442695]
STA 374's location: [-705.3385446294103, 480.8992653254185]
STA 375's location: [-92.54151957076259, -18.383877424512157]
STA 376's location: [66.18679877152415, -100.87974915767283]
STA 377's location: [-688.2608712066492, -338.32290681677296]
STA 378's location: [-341.5650725409108, 695.5638733429262]
STA 379's location: [373.31826151492623, -309.3004188831517]
STA 380's location: [-292.72951000269757, -125.11982980884412]
STA 381's location: [-974.2565009157896, 15.953627635399872]
STA 382's location: [-426.8732830724903, -217.65230652278515]
STA 383's location: [524.4808726711752, 121.12210934880461]
STA 384's location: [606.3931903977476, 71.808183855351]
STA 385's location: [-843.5113028450306, -178.14443127260387]
STA 386's location: [-203.09188403439933, -654.8982916031682]
STA 387's location: [226.9545364297317, -79.54430782308236]
STA 388's location: [-348.0422523214579, -510.4261050367126]
STA 389's location: [-363.9024220722497, -580.5971578971037]
STA 390's location: [428.30107186521576, -318.4372751259034]
STA 391's location: [544.0621086053811, -350.61256863399245]
STA 392's location: [-825.8783591907169, -473.12964205387794]
STA 393's location: [-7.513668443327678, 15.108920831692341]
STA 394's location: [189.76452141787766, 903.5943940460736]
STA 395's location: [-32.59047167241345, 131.95601777299242]
STA 396's location: [-295.22853629490834, 76.5217856798109]
STA 397's location: [-365.0786006172214, -241.11358462270692]
STA 398's location: [143.58256064809703, 794.0386985605155]
STA 399's location: [750.4600812361016, 510.94642269132487]
STA 400's location: [-404.09002145523345, -790.6344504569557]
STA 401's location: [670.5706799783205, -241.70877730913816]
STA 402's location: [-67.02606727386377, -833.3274410564256]
STA 403's location: [-603.3909423601224, -300.42251535928966]
STA 404's location: [671.2196303787352, -133.64914007289704]
STA 405's location: [21.873689795401315, -8.673053932859906]
STA 406's location: [142.07889425387387, -79.76382574358244]
STA 407's location: [332.0759946921167, -264.7933674690356]
STA 408's location: [224.6250313960652, -831.7382301208229]
STA 409's location: [598.7992378056491, 146.61125521678431]
STA 410's location: [-287.79752547615425, 721.0066313949823]
STA 411's location: [567.0708095929702, 103.92123835275142]
STA 412's location: [-575.7039023584022, 69.22585588759343]
STA 413's location: [124.46110057023343, 90.53372024291724]
STA 414's location: [41.723766477178245, -467.74825301101987]
STA 415's location: [-58.26828136026637, 230.66077059387473]
STA 416's location: [297.21427374405806, -444.00255410002717]
STA 417's location: [342.46885520454185, -298.65103381933375]
STA 418's location: [503.2998621370247, 743.7571526176997]
STA 419's location: [-672.7459585470591, -95.27335126824218]
STA 420's location: [-173.0456437769171, -398.95347208251786]
STA 421's location: [-366.3855849765082, -482.53548276077044]
STA 422's location: [277.38908776647656, 407.1991468847372]
STA 423's location: [-573.5908804364952, 436.8865231661023]
STA 424's location: [-156.44212700598464, -16.767114928576554]
STA 425's location: [-401.3524231703146, -5.656329808112802]
STA 426's location: [-177.03551504628464, 741.9574807162562]
STA 427's location: [198.69937513399893, -547.6065277458146]
STA 428's location: [518.3017645471368, -20.066042176045073]
STA 429's location: [856.6487355874069, 431.09876161383966]
STA 430's location: [-699.284247029254, -427.6310922250711]
STA 431's location: [-591.4512625768803, -523.9862069220367]
STA 432's location: [828.6675345255665, -487.62991049256107]
STA 433's location: [4.481866768465417, -263.2659598466393]
STA 434's location: [205.04548335911656, -714.6240353153787]
STA 435's location: [108.80900121555013, -393.1104759537211]
STA 436's location: [742.8973054474072, -522.4378606782531]
STA 437's location: [79.1585134372911, 275.39988810760997]
STA 438's location: [433.06031478413183, -785.1632648765476]
STA 439's location: [-211.72806932367462, 869.8020766888883]
STA 440's location: [772.1226379466739, 425.8289140314126]
STA 441's location: [634.5468682658435, -132.5018410538698]
STA 442's location: [261.529322443452, -799.7823628556629]
STA 443's location: [-221.19187199836693, -435.84203733750076]
STA 444's location: [52.13624617408885, -407.216726529912]
STA 445's location: [-443.98324576835313, -476.8558687018832]
STA 446's location: [-493.9653828272783, -472.60695718003524]
STA 447's location: [437.6910222845568, -183.49521428131885]
STA 448's location: [-666.9900848029016, -676.1307781232103]
STA 449's location: [169.70388542109518, 918.7684287002071]
STA 450's location: [741.4134168289332, -570.7191866556863]
STA 451's location: [-703.5325645806475, 288.2033071679733]
STA 452's location: [344.52525967850755, -577.5440434790512]
STA 453's location: [42.14143265690955, 624.6980885548942]
STA 454's location: [-40.61828690921852, -751.586615242336]
STA 455's location: [859.8699320266236, -353.9214126372402]
STA 456's location: [932.4336767648383, 209.0431292792574]
STA 457's location: [-322.4537310729084, 675.481524074964]
STA 458's location: [-46.17154459887416, 827.7029341305591]
STA 459's location: [257.1609917552349, -411.27895256582565]
STA 460's location: [-797.9947821453079, 361.6405029770922]
STA 461's location: [-188.62047670317648, -101.88552691011728]
STA 462's location: [-844.3945387493754, 411.32468934087564]
STA 463's location: [-103.38545978924519, 352.1130683423587]
STA 464's location: [426.90381016906593, -485.60692384476573]
STA 465's location: [-220.43211660517179, -696.4446756545118]
STA 466's location: [-660.4365767760842, 633.5076798596052]
STA 467's location: [-695.1552893857277, -657.4120305892455]
STA 468's location: [-676.4188900372374, 570.6835403247651]
STA 469's location: [863.3151418689736, 392.729528123379]
STA 470's location: [-68.78823513212555, -613.042430455683]
STA 471's location: [308.2148656060873, 625.4807095686263]
STA 472's location: [28.139140195537504, 982.3053017466079]
STA 473's location: [269.77781097366193, 628.472484043548]
STA 474's location: [600.7235733741604, 138.2320443222774]
STA 475's location: [-371.3947987265227, 455.96220570997224]
STA 476's location: [193.1678318572518, 249.63458746621]
STA 477's location: [-593.0931356293248, 403.5822583032269]
STA 478's location: [245.63032516178168, -510.7434990874797]
STA 479's location: [726.2834807113643, 508.42329041552193]
STA 480's location: [-525.7839719929575, -513.9736962812126]
STA 481's location: [93.39805562020395, -500.6870611782663]
STA 482's location: [-895.4018955606596, -65.75663139556288]
STA 483's location: [-35.51572480015112, 704.0023205941001]
STA 484's location: [778.6615408869447, 120.57266485768021]
STA 485's location: [349.4276861847242, 121.39675730190694]
STA 486's location: [15.350495733606524, -613.0415856259935]
STA 487's location: [-595.0638852716104, -647.1118268938499]
STA 488's location: [-573.4922814006027, 271.6193401478953]
STA 489's location: [-684.7478176694019, 256.10156864315746]
STA 490's location: [-402.454442583836, -822.3603210715293]
STA 491's location: [301.6861080402592, 413.40837065661674]
STA 492's location: [-201.14900759693919, 392.26546937492566]
STA 493's location: [540.59714253417, -690.9674883154803]
STA 494's location: [841.5429675477884, -512.9498503904805]
STA 495's location: [-578.3753120407385, 150.05584091467077]
STA 496's location: [304.59826928499393, -788.9830666473594]
STA 497's location: [-466.73051046439076, -499.2366149642995]
STA 498's location: [-502.6877897077131, 701.7039369804371]
STA 499's location: [-515.4225703078978, 530.3627359252374]
